2038.43,2035.62,2049.63,2026.69
2037.54,2035.44,2044.77,2029.39
2039.35,2033.25,2041.48,2029.15
2036.53,2036.83,2043.76,2027.77
2043.15,2039.98,2048.74,2035.70
2042.77,2041.39,2045.84,2035.94
2043.31,2042.05,2047.77,2037.69
2042.80,2048.03,2052.87,2040.14
2048.60,2060.81,2064.35,2047.19
2060.26,2062.09,2071.22,2055.27
2062.10,2062.66,2069.55,2055.59
2064.00,2060.28,2076.43,2056.63
2062.08,2062.96,2072.16,2054.13
2065.23,2066.19,2072.35,2057.00
2066.72,2072.80,2075.90,2062.01
2073.87,2075.35,2083.00,2070.41
2081.31,2086.18,2094.49,2078.50
2090.78,2090.86,2100.86,2084.47
2094.45,2091.87,2099.84,2087.12
2092.50,2081.75,2095.99,2076.44
2091.38,2085.89,2096.58,2081.27
2089.24,2078.38,2093.53,2074.90
2079.51,2069.16,2082.64,2064.31
2068.97,2055.51,2074.09,2052.90
2058.34,2051.72,2063.44,2047.95
2051.87,2049.67,2061.46,2044.66
2051.06,2046.17,2057.55,2043.40
2045.81,2033.77,2055.25,2033.07
2034.83,2042.85,2052.10,2029.23
2040.62,2044.11,2051.46,2033.46
