9558.62,9666.90,9812.44,9437.71
9632.31,9672.48,9817.95,9474.64
9824.07,9697.75,9881.00,9615.92
9750.89,9940.21,10124.54,9666.55
10116.02,9957.99,10100.25,10029.64
9858.62,10068.61,10104.88,9767.58
10054.54,9969.99,10188.16,9831.53
9983.24,10159.63,10162.01,9985.84
9955.13,10179.54,10208.93,10034.01
9971.19,9709.27,9922.66,9692.83
10040.10,9950.27,10096.27,10040.76
10030.60,10139.03,10196.60,9990.46
10135.14,9733.55,10128.42,9811.31
9498.52,9651.28,9638.00,9461.67
9598.67,9968.59,10060.38,9526.85
9910.77,9812.31,9912.39,9813.37
9778.42,9936.92,10151.54,9712.65
10014.42,9871.33,10036.31,9724.76
9897.86,9924.20,9991.91,9812.47
9894.83,9978.08,9993.31,9871.45
9961.36,10258.02,10239.22,9912.08
10140.26,10325.13,10353.42,10157.63
10257.42,10371.53,10463.82,10226.83
10374.19,10347.91,10478.95,10261.09
10231.68,10237.76,10407.65,10114.36
10227.47,10299.30,10318.28,10088.16
10126.13,10229.82,10184.22,10097.66
10141.01,10350.99,10372.56,10139.69
10251.59,10285.77,10333.18,10177.04
10155.21,10321.51,10483.90,10133.17
