5356.48,5318.31,5372.50,5267.39
5413.55,5361.54,5406.88,5347.82
5350.67,5387.77,5386.19,5339.31
5345.43,5385.66,5392.60,5329.24
5362.53,5373.13,5380.22,5338.67
5350.07,5370.37,5374.85,5338.54
5339.50,5334.39,5372.33,5307.46
5331.05,5320.97,5358.59,5283.83
5312.41,5305.73,5341.24,5299.18
5291.95,5286.04,5321.04,5271.98
5291.88,5285.68,5316.53,5268.59
5288.15,5275.26,5308.57,5263.12
5272.82,5239.94,5288.53,5228.08
5199.13,5198.71,5219.43,5163.32
5186.89,5192.06,5210.18,5170.92
5179.59,5136.23,5187.29,5125.74
5028.99,4942.69,5036.54,4920.03
4896.61,4841.86,4893.57,4775.85
4901.22,4952.15,4978.96,4897.17
5000.55,4999.63,5020.85,4955.91
5020.06,5013.19,5040.64,4977.79
5017.71,5049.40,5086.21,4924.03
5151.86,5115.42,5145.33,5112.13
5158.82,5170.57,5200.91,5154.13
5148.13,5080.17,5162.59,5075.87
5093.60,5070.14,5117.90,5053.27
4999.73,4894.39,5016.69,4806.63
4900.58,4911.41,4940.02,4865.79
4927.35,4914.38,4938.84,4877.46
4916.91,4979.61,4988.57,4870.87
